organization organization_new
"klinikum philipps univ" "marburg univ"
"orthopad univ klin frankfurt main" "orthopad klin frankfurt main univ"
"univ klinikum ulm" "klinikum ulm univ"
"lehrkrankenhaus univ giessen marburg" "lehrkrankenhaus giessen marburg univ"
"univ klinikum & marburg gmbh" "klinikum marburg gmbh univ"
"lehrabt paracelsus med privatuniv salzburg" "lehrabt paracelsus med privat salzburg univ"
"akad lehrkrankenhaus univ tubingen" "akad lehrkrankenhaus tubingen univ"
"univ hosp witten herdecke" "hosp witten herdecke univ"
"univ frauenklin rostock" "frauenklin rostock univ"
"aarhus univ" "aarhus univ"
"univ klinikum witten herdecke sitz koln" "klinikum witten herdecke sitz koln univ"
"orthopad univ klin heidelberg" "orthopad klin heidelberg univ"
"ludwig maximillians univ psychiat hosp" "ludwig maximillians psychiat hosp univ"
"univ witten herdecke sitz koln" "witten herdecke sitz koln univ"
"ruhr univ bochum tatig" "ruhr bochum univ"
"tech univ weihenstephan" "tech weihenstephan univ"
"univ drrernat hans josef allelein" "drrernat hans josef allelein univ"
"univ duisburg gesamthsch" "duisburg essen univ"
"inst geosci potsdam univ" "potsdam univ"
"univ rostock iow" "rostock univ"
"univ rostock likat" "rostock univ"
"kiel univ ifm geomar" "kiel univ"
"univ kiel ifm geomar" "kiel univ"
"klinikum otto von guericke univ magdeburg" "klinikum otto von guericke magdeburg univ"
"orthopad univ klin" "orthopad klin univ"
"univ bundeswehr munchen unibwm" "bundeswehr munchen unibwm univ"
"paderborn univ" "paderborn univ"
"sci univ konstanz" "sci konstanz univ"
"hosp univ duisburg essen" "duisburg essen univ"
"kliniken univ duisburg essen" "kliniken duisburg essen univ"
"kliniken heinrich heine univ" "kliniken heinrich heine univ"
"acad hosp univ frankfurt main" "acad hosp frankfurt main univ"
"klinikum ruhr univ" "klinikum ruhr univ"
"univ bremen nw2" "bremen nw univ"
"univ clin eppendorf" "clin eppendorf univ"
"univ bremen postfach" "bremen univ"
"univ stuttgart mpa" "stuttgart univ"
"katholische univ eichstatt ingolstadt" "katholishe eichstatt ingolstadt univ"
"katholishe univ eichstatt ingolstadt" "katholishe eichstatt ingolstadt univ"
"zwickau univ appl sci" "zwickau appl sci univ"
"freien univ" "freien univ"
"hh univ dusseldorf" "dusseldorf univ"
"ga univ gottingen" "gottingen univ"
"ca univ kiel" "kiel univ"
"univ klinikum albert ludwigs univ freiburg i br" "klinikum albert ludwigs freiburg i br univ"
"rheinisch westfal tech hsch univ aachen" "rheinisch westfal tech hsch aachen univ"
"berufsgenossenschaftliches univ klinkum bergmanns" "berufsgenossenschaftliches klinkum bergmanns univ"
"aachen univ rwth" "aachen rwth univ"
"med univ charite campus" "med charite campus univ"
"charite charite univ" "charite charite univ"
"gutenberg univ" "gutenberg univ"
"clin ludwig maximilian univ munich" "clin ludwig maximilian munich univ"
"univ technol" "technol univ"
"rupertus carola univ" "rupertus carola univ"
"klinikum univ heidelberg" "klinikum heidelberg univ"
"univ klinikum wuerzburg" "wurzburg univ"
"klinikum julius maximilians univ wurzburg" "klinikum julius maximilians wurzburg univ"
"klinikum jw goethe univ frankfurt" "goethe frankfurt univ"
"univ klinikum eppendorf" "klinikum eppendorf univ"
"klinikum jw goethe univ" "goethe frankfurt univ"
"klinikum johannes gutenberg univ mainz" "klinikum johannes gutenberg mainz univ"
"univ klin giessen marburg" "klin giessen marburg univ"
"univ klinikum giessen marburg" "klin giessen marburg univ"
"univ klinikums giessen marburg" "klin giessen marburg univ"
"klinikum friedrich alexander univ erlangen" "erlangen nurnberg univ"
"univ mainz klinikum" "klin mainz univ"
"univ klinikum aachen rwth" "klinikum aachen rwth univ"
"univ klinikum nurnberg" "klinikum nurnberg univ"
"klinikum univ munchen lmu" "klinikum munchen lmu univ"
"berufsgenossenschaftl univ klin bergmannsheil gmb" "berufsgenossenschaftl klin bergmannsheil gmb univ"
"klinikum ludwig maximillians univ munchen" "munich univ"
"univ womens clin" "womens clin univ"
"univ wrzburg" "wrzburg univ"
"klinikum tech univ munich" "klinikum tech munich univ"
"klinikum bavanan julius maximilians univ" "klinikum bavanan julius maximilians univ"
"klinikum johann wolfgang goethe univ frankfurt am" "goethe frankfurt univ"
"univ klinikum jean" "klinikum jean univ"
"univ klinikums" "wurzburg univ"
"philipps univ ag" "philipps ag univ"
"univ klinikums koln" "cologne univ"
"univ klin frankfurt main" "klin frankfurt main univ"
"klin univ munchen standort grosshadern" "klin munchen standort grosshadern univ"
"univ siegen fb8" "siegen fb univ"
"univ duisburg esssen" "duisburg esssen univ"
"univ leipzig aor" "leipzig univ"
"lehrstuhl friedrich schiller univ jena" "lehrstuhl friedrich schiller jena univ"
"christiana albertina univ kiel" "kiel univ"
"mat prufungsanstalt univ stuttgart" "mat prufungsanstalt stuttgart univ"
"univ hosp children & adolescents" "childrens hosp univ"
"uct univ klinikum frankfurt" "uct klinikum frankfurt univ"
"karl marx univ" "leipzig univ"
"univ hosp goethe univ frankfurt" "goethe frankfurt univ"
"tech univ muchen" "tech munich univ"
"rvvth aachen univ" "rvvth aachen univ"
"univ klin hals nasen & ohrenheilkunde" "klin hals nasen ohrenheilkunde univ"
"univ klin regensburg" "klin regensburg univ"
"univ munchen klinikum" "munchen klinikum univ"
"brandenburg univ" "brandenburg univ"
"tech univ munich tum" "tech munich tum univ"
"univ darmstadt" "darmstadt univ"
"univ lehrstuhl ii math" "aachen univ"
"int univ germany" "int germany univ"
"bavarian julius maximilians univ" "bavarian julius maximilians univ"
"univ ghana" "ghana univ"
"jacobs univ bremen ggmbh" "jacobs bremen ggmbh univ"
"univ erlargen" "erlargen univ"
"neurol univ klin bonn" "neurol klin bonn univ"
"univ luneburg" "luneburg univ"
"univ childrens hosp saarland" "childrens hosp saarland univ"
"univ eye hosp freiburg" "eye hosp freiburg univ"
"univ augenklin freiburg" "augenklin univ"
"stiftung orthopad univ klin" "stiftung orthopad klin univ"
"univ augenklin bonn" "augenklin bonn univ"
"hno univ klin ulm" "hno klin ulm univ"
"hop univ nord" "hop nord univ"
"univ dresden med sch" "dresden med sch univ"
"united nations univ inst environm & human change" "united nations inst environm human change univ"
"univ bouchum" "bouchum univ"
"clin ruhr univ bochum" "kliniken ruhr univ"
"kliniken ruhr univ" "kliniken ruhr univ"
"kliniken ruhr univ bochum" "kliniken ruhr bochum univ"
"univ hohenheim 720" "hohenheim univ"
"ilmenau univ technolog" "ilmenau technol univ"
"bogenhausen tech univ munich" "bogenhausen tech munich univ"
"univ erlangen fau" "erlangen fau univ"
"univ heidelberg ggmbh" "heidelberg univ"
"teaching hosp univ" "teaching hosp univ"
"erfurt univ appl sci" "erfurt appl sci univ"
"tuebingen univ med sch" "tuebingen med sch univ"
"helmholtz univ young investigators grp lipad" "helmholtz young investigators grp lipad univ"
"westfaelische wilhelms univ muenster" "westfaelische wilhelms muenster univ"
"norwegian univ life sci" "norwegian life sci univ"
"univ klinikum schleswig holstein campus kiel" "klinikum schleswig holstein univ"
"univ hosp giessen ukgm" "hosp giessen ukgm univ"
"univ klinikum giessen" "klinikum giessen univ"
"schleswig holstein univ" "schleswig holstein univ"
"univ bern" "bern univ"
"univ breast ctr franconia" "breast ctr franconia univ"
"univ duisburg & essen" "duisburg essen univ"
"univ klinikum martin luther univ halle wittenberg" "halle wittenberg univ"
"berufsgenossenschaftliches univ klinikum bergmaan" "berufsgenossenschaftliches klinikum bergmaan univ"
"klinikum ludwigs maximilian univ" "klinikum ludwigs maximilian univ"
"otto vonguericke univ magdeburg" "otto vonguericke magdeburg univ"
"standort marburg & phillips univ marburg" "standort marburg phillips marburg univ"
"hubertus wald univ canc ctr hamburg" "hubertus wald canc ctr hamburg univ"
"ruprecht karl univ heidelberg" "heidelberg univ"
"johannes guetenberg univ" "johannes guetenberg univ"
"albert ludwigs univ" "albert ludwigs univ"
"johannes gutenberg univ mainz kor" "johannes gutenberg mainz univ"
"univ frankfurt tubingen" "tubingen univ"
"ludwig maximilians univ klinikum" "munich univ"
"univ klinikum grosshadern" "munich univ"
"univ stuttgart visus" "stuttgart univ"
"univ eye hosp munich" "eye hosp munich univ"
"lmu munich univ" "lmu munich univ"
"hsch rheinmain univ appl sci" "hsch rheinmain appl sci univ"
"urgench state univ" "urgench state univ"
"univ augenklin koln" "cologne univ"
"univ heidelberg bzh" "heidelberg univ"
"univ klinikum regensberg" "klinikum regensberg univ"
"univ hamburg zis" "hamburg univ"
"orthopad univ klin regensburg" "orthopad klin regensburg univ"
"univ heidelberg allianz" "heidelberg allianz univ"
"aschaffenburg univ appl sci" "aschaffenburg appl sci univ"
"klinkum goethe univ" "klinkum goethe univ"
"hno univ klin mannheim" "hno klin mannheim univ"
"friedrich alexander univ erlangen nurnberg" "friedrich alexander erlangen nurnberg univ"
"alice salomon univ appl sci" "alice salomon appl sci univ"
"anasthesiol univ klin freiburg" "anasthesiol klin freiburg univ"
"anhalt univ appl sci fh" "anhalt appl sci fh univ"
"appl univ bingen" "appl bingen univ"
"benjamin franklin univ med berlin" "benjamin franklin med berlin univ"
"bergische univ" "bergische univ"
"berufsgenossenschaftl univ bergmannsheil gmbh" "berufsgenossenschaftl bergmannsheil gmbh univ"
"bg univ klinikum bergmannsheil" "bg klinikum bergmannsheil univ"
"bht berlin univ appl sci" "bht berlin appl sci univ"
"biederstein tech univ munchen" "biederstein tech munchen univ"
"bingen univ appl sci" "bingen appl sci univ"
"bioctr univ munich lmu" "bioctr munich lmu univ"
"bochum univ" "bochum univ"
"brandenburg univ technol cottbus btu" "brandenburg technol cottbus btu univ"
"bw univ munich" "bw munich univ"
"cardiol goethe univ" "cardiol goethe univ"
"carl gustav carus univ hosp dresden" "carl gustav carus hosp dresden univ"
"carl gustav carus univ med ctr" "carl gustav carus med ctr univ"
"carl v ossietzky univ oldenburg" "carl v ossietzky oldenburg univ"
"carl von osietzky univ oldenburg" "carl von osietzky oldenburg univ"
"charite berlin univ med ctr" "charite berlin med ctr univ"
"charite hosp humboldt univ" "charite hosp humboldt univ"
"charite univ med campus benjamin franklin" "charite med campus benjamin franklin univ"
"charite univ sch med" "charite sch med univ"
"charite virchow univ hosp" "charite virchow hosp univ"
"childrens & adolescents univ hosp" "childrens adolescents hosp univ"
"chirurg univ klin & poliklin munchen grosshadern" "chirurg klin poliklin munchen grosshadern univ"
"chirurg univ klin aachen" "chirurg klin aachen univ"
"dortmung univ technol" "dortmung technol univ"
"duesseldorf univ hosp" "duesseldorf hosp univ"
"dvgw forsch stelle tech univ hamburg harburg" "dvgw forsch stelle tech hamburg harburg univ"
"dwi rwth aachen univ" "dwi rwth aachen univ"
"erlangen med univ ctr" "erlangen med ctr univ"
"excellence cluster origin & struct universe" "excellence cluster origin struct erse univ"
"excellence cluster univ" "excellence cluster univ"
"excellence cluster universe" "excellence cluster erse univ"
"excellence cluster universe tech univ munchen" "excellence cluster erse tech munchen univ"
"fb c univ" "fb c univ"
"fed armed forces univ munich aero space engn & te" "fed armed forces munich aero space engn te univ"
"freiberg univ technol" "freiberg technol univ"
"freie univ ,berlin" "freie berlin univ"
"freie univartmentersitat berlin" "freie artmentersitat berlin univ"
"friedensau adventist univ" "friedensau adventist univ"
"ge taltung univ appl sci" "ge taltung appl sci univ"
"georg agr univ appl sci" "georg agr appl sci univ"
"georg august univ gottingen gzg" "georg august gottingen gzg univ"
"german sport univ koln" "german sport koln univ"
"germany otto von guericke univ" "germany otto von guericke univ"
"gessell wissens & technol transfer tech univ dres" "gessell wissens technol transfer tech dres univ"
"grassland sci univ munchen" "grassland sci munchen univ"
"gutenberg univ hosp" "gutenberg hosp univ"
"guttenberg univ" "guttenberg univ"
"hafencity univ" "hafencity univ"
"hamburger sternwarte univ hamburg" "hamburger sternwarte hamburg univ"
"harbour city univ" "harbour city univ"
"heidelberg univ biochem ctr bzh" "heidelberg biochem ctr bzh univ"
"heinrich heine univ klin dusseldorf" "heinrich heine klin dusseldorf univ"
"heinrich heine univ klinikum dusseldorf" "heinrich heine klinikum dusseldorf univ"
"helmut schmidt univ fed armed forces" "helmut schmidt fed armed forces univ"
"hno univ klin leipzig" "hno klin leipzig univ"
"hno univ klin regensburg" "hno klin regensburg univ"
"hno univ klinikum hamburg eppendorf" "hno klinikum hamburg eppendorf univ"
"hnu neu ulm univ" "hnu neu ulm univ"
"hosp goethe univ frankfurt" "hosp goethe frankfurt univ"
"hosp johann wolfgang goethe univ frankfurt" "hosp johann wolfgang goethe frankfurt univ"
"hosp univ muenster" "hosp muenster univ"
"hosp univ munster" "hosp munster univ"
"hosp univ regensburg" "hosp regensburg univ"
"hsch ostwestfalen lippe univ appl sci" "hsch ostwestfalen lippe appl sci univ"
"humboldt univt berlin" "humboldt t berlin univ"
"hunan univ" "hunan univ"
"i univ frauenklin lmu" "i frauenklin lmu univ"
"ieh stuttgart univ" "ieh stuttgart univ"
"incide univ konstanz" "incide konstanz univ"
"inst anorgan chem univ" "inst anorgan chem univ"
"inst tech & makromol chem univ" "inst tech makromol chem univ"
"inst univ leipzig" "inst leipzig univ"
"int univ bremen" "int bremen univ"
"isas tech univ dortmund" "isas tech dortmund univ"
"itpa univ wurzburg" "itpa wurzburg univ"
"j gutenberg univ hosp" "j gutenberg hosp univ"
"jacobs univ bremen gmbh" "jacobs bremen gmbh univ"
"jacobs univ ggmbh" "jacobs ggmbh univ"
"johann wolfgang goethe univ klinikum" "johann wolfgang goethe klinikum univ"
"julius maximilian univ wurzburg" "julius maximilian wurzburg univ"
"jwg univ" "jwg univ"
"katholische univ eichstatt" "katholische eichstatt univ"
"klimacampus univ hamburg" "klimacampus hamburg univ"
"klinikum friedrich schiller univ" "klinikum friedrich schiller univ"
"klinikum friedrich schiller univ jena" "klinikum friedrich schiller jena univ"
"klinikum justus liebig univ" "klinikum justus liebig univ"
"klinikum ludwigs maximilian univ munchen" "klinikum ludwigs maximilian munchen univ"
"klinikum ludwigs maximilians univ" "klinikum ludwigs maximilians univ"
"klinikum ludwigs maximilians univ munchen" "klinikum ludwigs maximilians munchen univ"
"klinikum rechts isar techn univ mu nchen" "klinikum rechts isar techn mu nchen univ"
"laser ctr univ appl sci muenster lfm" "laser ctr appl sci muenster lfm univ"
"leibnitz univ" "leibnitz univ"
"leipzig univ appl sci htwk" "leipzig appl sci htwk univ"
"lm univ munich grosshadern" "lm munich grosshadern univ"
"lmu univ" "lmu univ"
"lubeck univ hosp" "lubeck hosp univ"
"ludwig maximilian univ munich" "ludwig maximilian munich univ"
"ludwig maximilians univ lmu" "ludwig maximilians lmu univ"
"ludwig maximillians univ hosp" "ludwig maximillians hosp univ"
"luebeck univ" "luebeck univ"
"makromol chem berg univ wuppertal" "makromol chem berg wuppertal univ"
"martin luther univ helle wittenberg" "martin luther helle wittenberg univ"
"math sem univ hamburg" "math sem hamburg univ"
"math sem univ kiel" "math sem kiel univ"
"mechatron maschinenbau tech univ darmstadt" "mechatron maschinenbau tech darmstadt univ"
"med phys univ hosp" "med phys hosp univ"
"med univ clin ulm" "med clin ulm univ"
"med univ ctr mainz" "med ctr mainz univ"
"med univ greifswald" "med greifswald univ"
"med univ heidelberg" "med heidelberg univ"
"med univ klin & poliklin ii" "med klin poliklin ii univ"
"med univ leipzig" "med leipzig univ"
"med univ mainz" "med mainz univ"
"med univ mannheim" "med mannheim univ"
"moskauer tech univ angew biotechnol" "moskauer tech angew biotechnol univ"
"mpa univ stuttgart" "mpa stuttgart univ"
"munich univ hosp campus grosshadern" "munich hosp campus grosshadern univ"
"munster univ lib" "munster lib univ"
"nat kundliches univ museum" "nat kundliches museum univ"
"neurochirurg philipps univ" "neurochirurg philipps univ"
"neurochirurg univ klin" "neurochirurg klin univ"
"neurol klin univ" "neurol klin univ"
"neurol univ klin" "neurol klin univ"
"neurol univ klin essen" "neurol klin essen univ"
"neurol univ klin freiburg" "neurol klin freiburg univ"
"neurol univ klinikum heidelberg" "neurol klinikum heidelberg univ"
"ohannes gutenberg univ mainz" "ohannes gutenberg mainz univ"
"ohm univ nuernberg" "ohm nuernberg univ"
"oncoray tech univ" "oncoray tech univ"
"ordinarius bauphys univ stuttgart" "ordinarius bauphys stuttgart univ"
"orthopad univ klin magdeburg" "orthopad klin magdeburg univ"
"orthopad univ klin tubingen" "orthopad klin tubingen univ"
"orthopad univ klinikum rku" "orthopad klinikum rku univ"
"orthopaed univ clin heidelberg" "orthopaed clin heidelberg univ"
"orthopaed univ hosp" "orthopaed hosp univ"
"orthoped univ hosp ii" "orthoped hosp ii univ"
"philipps univ marburg gmbh" "philipps marburg gmbh univ"
"phys chem rwth aachen univ" "phys chem rwth aachen univ"
"phys inst univ bonn" "phys inst bonn univ"
"physiol inst univ lubeck" "physiol inst lubeck univ"
"physiol inst univ regensburg" "physiol inst regensburg univ"
"private univ appl sci gottingen" "private appl sci gottingen univ"
"psychiat klin univ" "psychiat klin univ"
"psychiat rhein landes & univ klinik essen" "psychiat rhein landes klinik essen univ"
"psychiat univ clin erlangen" "psychiat clin erlangen univ"
"psychiat univ klin" "psychiat klin univ"
"radiol univ klin freiburg" "radiol klin freiburg univ"
"rhein westfal tech hsch univ aachen" "rhein westfal tech hsch aachen univ"
"ruprecht karls univ hosp heidelberg" "ruprecht karls hosp heidelberg univ"
"ruprechts karl univ hosp mannheim" "ruprechts karl hosp mannheim univ"
"rwth aachen univ aachen" "rwth aachen aachen univ"
"rwth tech univ aachen" "rwth tech aachen univ"
"saarland univ appl sci" "saarland appl sci univ"
"saarland univ comp sci" "saarland comp sci univ"
"schleswig holstein univ med ctr" "schleswig holstein med ctr univ"
"sport univ" "sport univ"
"srh univ appl sci" "srh appl sci univ"
"st josef univ" "st josef univ"
"stiftung orthopad univ klin heidelberg" "stiftung orthopad klin heidelberg univ"
syddanskuniv "syddansk univ"
"tech chem saarland univ" "tech chem saarland univ"
"tech univ appl sci" "tech appl sci univ"
"tech univ appl sci berlin" "tech appl sci berlin univ"
"tech univ appl sci wildau" "tech appl sci wildau univ"
"tech univ berlin werkstofftech" "tech berlin werkstofftech univ"
"tech univ carolo wilhelmina" "tech carolo wilhelmina univ"
"tech univ darmstadt struct durabil component rela" "tech darmstadt struct durabil component rela univ"
"tech univ dortmund theoret phys 1" "tech dortmund theoret phys univ"
"tech univ kaiserlautern" "tech kaiserlautern univ"
"tech univ kl" "tech kl univ"
"technol univ" "technol univ"
"technol univ clausthal" "technol clausthal univ"
"technol univ darmstadt" "technol darmstadt univ"
"transnatl univ limburg" "transnatl limburg univ"
"tuebingen univ hosp" "tuebingen hosp univ"
"tuhh hamburg univ technol" "tuhh hamburg technol univ"
"umm univ med ctr mannheim" "umm med ctr mannheim univ"
"univ albstadt sigmaringen" "albstadt sigmaringen univ"
"univ ambulance" "ambulance univ"
"univ appl arts & sci" "appl arts sci univ"
"univ appl forest sci" "appl forest sci univ"
"univ appl sci & art" "appl sci art univ"
"univ appl sci & arts hawk" "appl sci arts hawk univ"
"univ appl sci & technol" "appl sci technol univ"
"univ appl sci albstadt sigmaringen" "appl sci albstadt sigmaringen univ"
"univ appl sci beuth hsch techn" "appl sci beuth hsch techn univ"
"univ appl sci braunschweig wolfenbuttel" "appl sci braunschweig wolfenbuttel univ"
"univ appl sci bremerhaven" "appl sci bremerhaven univ"
"univ appl sci chem & biotechnol" "appl sci chem biotechnol univ"
"univ appl sci darmstadt" "appl sci darmstadt univ"
"univ appl sci fh" "appl sci fh univ"
"univ appl sci fh jena" "appl sci fh jena univ"
"univ appl sci fh wedel" "appl sci fh wedel univ"
"univ appl sci fresenius" "appl sci fresenius univ"
"univ appl sci giessen" "appl sci giessen univ"
"univ appl sci htw berlin" "appl sci htw berlin univ"
"univ appl sci lausitz" "appl sci lausitz univ"
"univ appl sci mainz" "appl sci mainz univ"
"univ appl sci munchen" "appl sci munchen univ"
"univ appl sci oldenburg ostfriesland wilhelmshave" "appl sci oldenburg ostfriesland wilhelmshave univ"
"univ appl sci ravensburg weingarten" "appl sci ravensburg weingarten univ"
"univ appl sci regensburg" "appl sci regensburg univ"
"univ appl sci stralsund syst engn & informat mana" "appl sci stralsund syst engn informat mana univ"
"univ appl sci ulm" "appl sci ulm univ"
"univ appl sci weihenstephan" "appl sci weihenstephan univ"
"univ armed forces" "armed forces univ"
"univ armed forces munich" "armed forces munich univ"
"univ augenklin bochum" "augenklin bochum univ"
"univ augenklin frankfurt" "augenklin frankfurt univ"
"univ augenklin gottingen" "augenklin gottingen univ"
"univ augenklin halle saale" "augenklin halle saale univ"
"univ augenklin heidelberg" "augenklin heidelberg univ"
"univ augenklin leipzig" "augenklin leipzig univ"
"univ augenklin lubeck" "augenklin lubeck univ"
"univ augenklin magdeburg" "augenklin magdeburg univ"
"univ augenklin munster" "augenklin munster univ"
"univ augenklin rostock" "augenklin rostock univ"
"univ augenklin wurzburg" "augenklin wurzburg univ"
"univ augsburg expt phys 1" "augsburg expt phys univ"
"univ bibliothek johann christian senckenberg" "bibliothek johann christian senckenberg univ"
"univ braunschweig tu" "braunschweig tu univ"
"univ breast unit heidelberg" "breast unit heidelberg univ"
"univ cardiovasc ctr freiburg" "cardiovasc ctr freiburg univ"
"univ cardiovasc ctr freiburg bad krozingen" "cardiovasc ctr freiburg bad krozingen univ"
"univ cau kiel" "cau kiel univ"
"univ children s hosp" "children s hosp univ"
"univ childrens hosp dresden" "childrens hosp dresden univ"
"univ childrens hosp greifswald" "childrens hosp greifswald univ"
"univ childrens hosp hamburg" "childrens hosp hamburg univ"
"univ childrens hosp leipzig" "childrens hosp leipzig univ"
"univ childrens hosp munich" "childrens hosp munich univ"
"univ clin carl gustav carus" "clin carl gustav carus univ"
"univ clin child & adolescent psychiat" "clin child adolescent psychiat univ"
"univ clin child & adolescent psychiat & psychothe" "clin child adolescent psychiat psychothe univ"
"univ clin dermatol" "clin dermatol univ"
"univ clin frankfurt" "clin frankfurt univ"
"univ clin psychosomat med & psychotherapy" "clin psychosomat med psychotherapy univ"
"univ cologne ewi" "cologne ewi univ"
"univ ctr tumorerkrankungen" "ctr tumorerkrankungen univ"
"univ duisburg essen math" "duisburg essen math univ"
"univ educ freiburg" "educ freiburg univ"
"univ educ karlsruhe" "educ karlsruhe univ"
"univ erlangen med ctr" "erlangen med ctr univ"
"univ erlangen nuremberg fau" "erlangen nuremberg fau univ"
"univ erlangen nurnberg lhft" "erlangen nurnberg lhft univ"
"univ eye clin hamburg" "eye clin hamburg univ"
"univ eye clin mainz" "eye clin mainz univ"
"univ eye hosp regensburg" "eye hosp regensburg univ"
"univ frankfurt" "frankfurt univ"
"univ frauen klin wurzburg" "frauen klin wurzburg univ"
"univ frauenklin dresden" "frauenklin dresden univ"
"univ frauenklin erlangen" "frauenklin erlangen univ"
"univ frauenklin essen" "frauenklin essen univ"
"univ frauenklin frankfurt am main" "frauenklin frankfurt am main univ"
"univ frauenklin hamburg eppendorf" "frauenklin hamburg eppendorf univ"
"univ frauenklin martin luther univ halle wittenbe" "frauenklin martin luther halle wittenbe univ"
"univ frauenklin tubingen" "frauenklin tubingen univ"
"univ frauenklin ulm" "frauenklin ulm univ"
"univ frauenklin wurzburg" "frauenklin wurzburg univ"
"univ friedensau" "friedensau univ"
"univ giessen lung ctr uglc" "giessen lung ctr uglc univ"
"univ gotinga" "gotinga univ"
"univ hals nasen ohren klin heidelberg" "hals nasen ohren klin heidelberg univ"
"univ hautklin" "hautklin univ"
"univ hautklin heidelberg" "hautklin heidelberg univ"
"univ hautklin mainz" "hautklin mainz univ"
"univ hautklin tubingen" "hautklin tubingen univ"
"univ heart ctr freiburg bad krozingen" "heart ctr freiburg bad krozingen univ"
"univ heart ctr hamburg eppendorf" "heart ctr hamburg eppendorf univ"
"univ hno klin regensburg" "hno klin regensburg univ"
"univ hohenheim 380" "hohenheim univ"
"univ hohenheim 480a" "hohenheim a univ"
"univ hosp & comprehens canc ctr" "hosp comprehens canc ctr univ"
"univ hosp aachen uka" "hosp aachen uka univ"
"univ hosp children & adolescent med ulm" "hosp children adolescent med ulm univ"
"univ hosp eppendorf uke" "hosp eppendorf uke univ"
"univ hosp erlangen nuremberg" "hosp erlangen nuremberg univ"
"univ hosp essen germany" "hosp essen germany univ"
"univ hosp frankfurt am main" "hosp frankfurt am main univ"
"univ hosp freiberg" "hosp freiberg univ"
"univ hosp koln" "hosp koln univ"
"univ hosp med ctr" "hosp med ctr univ"
"univ hosp munich grosshadern" "hosp munich grosshadern univ"
"univ hosp munich innenstadt" "hosp munich innenstadt univ"
"univ hosp paediat" "hosp paediat univ"
"univ hosp pediat" "hosp pediat univ"
"univ hosp radiooncol" "hosp radiooncol univ"
"univ hosp rechts isar munich" "hosp rechts isar munich univ"
"univ hosp rhein westfal tech hsch aachen" "hosp rhein westfal tech hsch aachen univ"
"univ hosp rwth aachcn" "hosp rwth aachcn univ"
"univ hosp schleswig" "hosp schleswig univ"
"univ hsop schleswig holstein" "hsop schleswig holstein univ"
"univ inst radiol" "inst radiol univ"
"univ kiel germany" "kiel germany univ"
"univ kinder klin munster" "kinder klin munster univ"
"univ kinderklin & poliklin" "kinderklin poliklin univ"
"univ kinderklin frankfurt main" "kinderklin frankfurt main univ"
"univ kinderklin heidelberg" "kinderklin heidelberg univ"
"univ kinderklin koln" "kinderklin koln univ"
"univ kinderklin leipzig" "kinderklin leipzig univ"
"univ kit" "kit univ"
"univ klin & hsch ambulanz hals nasen ohren heilku" "klin hsch ambulanz hals nasen ohren heilku univ"
"univ klin & poliklin hals nasen ohren heilkunde k" "klin poliklin hals nasen ohren heilkunde k univ"
"univ klin & poliklin innere med 2" "klin poliklin innere med univ"
"univ klin & poliklin kinder & jugendliche" "klin poliklin kinder jugendliche univ"
"univ klin & poliklin kinder & jugendmed" "klin poliklin kinder jugendmed univ"
"univ klin & poliklin kinder & jugendmed ulm" "klin poliklin kinder jugendmed ulm univ"
"univ klin & poliklin urol" "klin poliklin urol univ"
"univ klin aachen" "klin aachen univ"
"univ klin frankfurt" "klin frankfurt univ"
"univ klin giessen & marburg gmbh" "klin giessen marburg gmbh univ"
"univ klin hno heilkunde" "klin hno heilkunde univ"
"univ klin kinder & jugendmed frankfurt" "klin kinder jugendmed frankfurt univ"
"univ klin kinder & jugendmed ulm" "klin kinder jugendmed ulm univ"
"univ klin magdeburg" "klin magdeburg univ"
"univ klin neurol" "klin neurol univ"
"univ klin psychiat & psychotherapie" "klin psychiat psychotherapie univ"
"univ klin rostock" "klin rostock univ"
"univ klin schleswig holstein" "klin schleswig holstein univ"
"univ klinderklin" "klinderklin univ"
"univ kliniken marburg & giessen" "kliniken marburg giessen univ"
"univ kliniken tubingen" "kliniken tubingen univ"
"univ klinikum benjamin franklin" "klinikum benjamin franklin univ"
"univ klinikum fsu jena" "klinikum fsu jena univ"
"univ klinikum giessen & marburg standort marburg" "klinikum giessen marburg standort marburg univ"
"univ klinikum giessen marburg gmbh" "klinikum giessen marburg gmbh univ"
"univ klinikum hamatol onkol" "klinikum hamatol onkol univ"
"univ klinikum homburg saar" "klinikum homburg saar univ"
"univ klinikum kinder & jugendpsychiat psychothera" "klinikum kinder jugendpsychiat psychothera univ"
"univ klinikum otto von guericke univ magdeburg" "klinikum otto von guericke magdeburg univ"
"univ klinikum rwth" "klinikum rwth univ"
"univ klinikum sh" "klinikum sh univ"
"univ klinikum ulm frauenklin" "klinikum ulm frauenklin univ"
"univ klinikums heidelberg" "klinikums heidelberg univ"
"univ klinikums munster" "klinikums munster univ"
"univ klinikums wurzburg" "klinikums wurzburg univ"
"univ klinium erlange" "klinium erlange univ"
"univ kobe landau" "kobe landau univ"
"univ krankenhaus hamburg eppendorf" "krankenhaus hamburg eppendorf univ"
"univ leipzig herzzentrum" "leipzig herzzentrum univ"
"univ management & commun potsdam" "management commun potsdam univ"
"univ med ctr eppendorf hamburg" "med ctr eppendorf hamburg univ"
