organization organization_new
"univ heart ctr hamburg" "heart ctr hamburg univ"
"univ hosp schleswig holstein uksh" "hosp schleswig holstein uksh univ"
"ernst moritz arndt univ hosp greifswald" "ernst moritz arndt hosp greifswald univ"
"med univ hanover" "med hanover univ"
"johann wolfgang goethe univ hosp" "johann wolfgang goethe hosp univ"
"univ hosp halle saale" "hosp halle saale univ"
"univ hosp ulm" "hosp ulm univ"
"univ clin munster" "clin munster univ"
"univ hosp charite" "hosp charite univ"
"friedrich schiller univ" "friedrich schiller univ"
"univ med ctr mainz" "med ctr mainz univ"
"saarland univ hosp" "saarland univ"
"univ heidelberg hosp" "heidelberg hosp univ"
"univ frankfurt main" "frankfurt main univ"
"univ hamburg hosp" "hamburg hosp univ"
"med univ schleswig holstein" "med schleswig holstein univ"
"erlangen univ hosp" "erlangen hosp univ"
"univ clin giessen marburg" "clin giessen marburg univ"
"univ clin tuebingen" "clin tuebingen univ"
"univ clin saarland" "clin saarland univ"
"univ hosp freiburg" "hosp freiburg univ"
"univ childrens hosp tuebingen" "childrens hosp tuebingen univ"
"univ hosp carl gustav carus" "hosp carl gustav carus univ"
"univ clin duesseldorf" "clin duesseldorf univ"
"univ witten merdecke" "witten merdecke univ"
"cologne univ appl sci" "cologne appl sci univ"
"univ klin tuebingen" "klin tuebingen univ"
"univ hno klin wuerzburg" "hno klin wuerzburg univ"
"univ kilinikum regensburg" "kilinikum regensburg univ"
"univ appl sci jena" "appl sci jena univ"
"univ appl sci luebeck" "appl sci luebeck univ"
"hamburg eppendorf univ hosp" "hamburg eppendorf hosp univ"
"univ clin goettingen" "clin gottingen univ"
"univ clin gottingen" "clin gottingen univ"
"univ hosp freiburg i br" "hosp freiburg i br univ"
"univ technol tatzberg" "tech dresden univ"
"hamburg eppendorf med univ" "hamburg eppendorf med univ"
"univ hosp grosshadern" "hosp grosshadern univ"
"univ hosp eppendorf" "hosp eppendorf univ"
"regensburg univ hosp" "hosp regensburg univ"
"tech univ dresden gmbh" "tech dresden gmbh univ"
"univ hosp tuebingen" "hosp tuebingen univ"
"univ med ctr hamburg eppendorf uke" "med ctr hamburg eppendorf uke univ"
"univ womans hosp tubingen" "womans hosp tubingen univ"
"charite univ med ctr benjamin franklin" "charite med ctr benjamin franklin univ"
"jacobs univ bremen" "jacobs bremen univ"
"univ klinikum d3" "klinikum d univ"
"otto friedrich univ bamberg" "otto friedrich bamberg univ"
"tech univ muenchen" "tech muenchen univ"
"univ klinikum aor" "klinikum aor univ"
"klinikum univ koln" "klinikum koln univ"
"univ clin bonn" "clin bonn univ"
"tech univ munchen weihenstephan" "tech munich univ"
"univ med ctr regensburg" "regensburg univ"
"univ oslo" "oslo univ"
"duisburg essen univ" "duisburg essen univ"
"ilmenau univ technol" "tech ilmenau univ"
"univ cologne cmmc" "cologne univ"
"frankfurt univ hosp" "frankfurt hosp univ"
"univ childrens hosp cologne" "cologne univ"
"univ med ctr eppendorf" "med ctr eppendorf univ"
"univ hosp gottingen" "hosp gottingen univ"
"univ appl sci giessen friedberg" "appl sci giessen friedberg univ"
"goethe univ hosp" "goethe hosp univ"
"univ clin grosshadern" "munich univ"
"univ hosp hamburg eppendorf uke" "hosp hamburg eppendorf uke univ"
"univ eye hosp" "tubingen univ"
"univ childrens hosp heidelberg" "heidelberg univ"
"childrens univ hosp saarland" "childrens hosp saarland univ"
"german sport univ cologne" "german sport cologne univ"
"univ med ctr hamburg eppendotf" "med ctr hamburg eppendotf univ"
"univ med ctr hamburg eppendorf hamburg" "med ctr hamburg eppendorf hamburg univ"
"univ augenklin munchen" "augenklin munchen univ"
"leuphana univ luneburg" "leuphana luneburg univ"
"univ clin tubingen" "clin tubingen univ"
"univ goettingen buesgenweg" "goettingen buesgenweg univ"
"univ clin erlangen" "clin erlangen univ"
"justus liebig univ" "giessen univ"
"anhalt univ appl sci" "anhalt appl sci univ"
"cologne merheim med ctr univ" "cologne merheim med ctr univ"
"univ hosp duisberg essen" "hosp duisberg essen univ"
"brandenburg univ technol btu cottbus" "brandenburg tech cottbus univ"
"univ fed armed forces" "fed armed forces univ"
"aachen univ appl sci" "aachen appl sci univ"
"univ appl sci bingen" "appl sci bingen univ"
"univ hosp rostock" "hosp rostock univ"
"friedrich alexander univ hosp erlangen" "hosp erlangen univ"
"univ hosp giessen & marburg" "hosp giessen marburg univ"
"univ goettingen" "goettingen univ"
"univ med ctr mannheim" "med ctr univ"
"clin univ munich" "munich univ"
"univ hosp munich campus grosshadern" "munich univ"
"univ hosp munich lmu" "munich univ"
"univ uem" "uem univ"
"univ hosp marburg" "marburg univ"
"carl gustav carus tech univ" "carl gustav carus tech univ"
"friedrich schiller univ hosp" "jena univ"
"univ hosp leipzig" "hosp leipzig univ"
"munich univ hosp" "munich hosp univ"
"univ hosp muenster" "hosp univ"
"univ med ctr schleswig holstein" "hosp schleswig holstein univ"
"univ hop mannheim" "hop mannheim univ"
"univ giessen klinikum & marburg" "giessen klinikum marburg univ"
"univ klinikum saarlandes" "klinikum saarlandes univ"
"intens care & pain therapy univ saarland" "intens care pain therapy saarland univ"
"univ aalen" "aalen univ"
"univ duesseldorf" "duesseldorf univ"
"lubeck univ" "lubeck univ"
"univ hosp aachen" "hosp rwth univ"
"univ med goettingen" "gottingen univ"
"univ homburg saar" "saarland univ"
"univ canc ctr hamburg eppendorf ucch" "hosp hamburg eppendorf univ"
"bonn univ hosp" "bonn hosp univ"
"rwth univ hosp aachen" "hosp aachen univ"
"univ hosp dusseldorf" "dusseldorf univ"
"univ hosp wuerzburg" "wurzburg univ"
"charite freie univ berlin" "charite freie berlin univ"
"univ hosp greifswald" "hosp greifswald univ"
"jena univ hosp" "jena univ"
"univ med ctr jena" "jena univ"
"hosp philipps univ" "hosp philipps univ"
"univ clin giessen" "clin giessen univ"
"justus liebig univ giessen" "giessen univ"
"tech univ munich weihenstephan" "tech munich weihenstephan univ"
"reutlingen univ" "reutlingen univ"
"hafencity univ hamburg" "hafencity hamburg univ"
"univ appl sci anhalt" "appl sci anhalt univ"
"univ appl sci esslingen" "appl sci esslingen univ"
"univ osnabrueck" "osnabruck univ"
"tech hsch rwth univ aachen" "tech hsch rwth aachen univ"
"jacobs bremen univ" "jacobs univ"
"univ montenegro" "montenegro univ"
"univ hosp lmu" "hosp lmu univ"
"univ stuttgart hohenheim" "hohenheim univ"
"clin goethe univ" "clin goethe univ"
"furtwangen univ" "furtwangen univ"
"beuth univ appl sci" "beuth appl sci univ"
"cimh mannheim univ heidelberg" "cimh mannheim heidelberg univ"
"univ appl sci kaiserslautern zweibrucken" "appl sci univ"
"mannheim univ appl sci" "mannheim appl sci univ"
"julius maximilians univ wuerzburg" "wurzburg univ"
"univ hosp duisburg essen" "hosp duisburg essen univ"
"univ hosp schleswig holstein campus kiel" "med ctr schleswig holstein univ"
"univ clin heidelberg" "heidelberg univ"
"lm univ hosp" "munich univ"
"ludwig maximilians univ hosp" "munich univ"
"univ freiberg" "freiberg univ"
"univ med ctr goettingen" "marburg univ"
"med univ hosp heidelberg" "heidelberg univ"
"med univ klin wurzburg" "med klin wurzburg univ"
"univ clin giessen & marburg" "clin giessen marburg univ"
"univ klinikum charite" "klinikum charite univ"
"wuppertal univ witten herdecke" "wuppertal witten herdecke univ"
"univ klinikum essen duisburg" "klinikum essen duisburg univ"
"univ clin duisburg essen" "clin essen univ"
"ruhr univ hosp" "ruhr hosp univ"
"philipps univ" "marburg univ"
"rwth aachen univ med sch" "rwth aachen med sch univ"
"clausthal univ technol" "clausthal technol univ"
"philipps univ marburg" "marburg univ"
"lmu univ munich" "munich univ"
"munich univ lmu" "munich univ"
"friedrich alexander univ" "erlangen nurnberg univ"
"hamburg univ technol" "hamburg technol univ"
"univ appl sci munster" "appl sci munster univ"
